3
500
62425, 7091
58098, 8351
45601, 2856
68606, 20661
64066, 50417
42812, 21823
84359, 26082
85724, 83624
38504, 15921
87856, 99155
79374, 97002
96361, 44849
39600, 33639
40264, 26475
17582, 44998
42034, 91034
61282, 22777
53006, 77490
84924, 37064
7958, 52212
47313, 26120
27355, 35077
33842, 99701
19548, 5334
98027, 45229
337, 64478
36319, 89816
58889, 36253
22051, 29524
65966, 89731
51125, 8338
74175, 21458
35554, 39970
41903, 43869
73325, 17415
44118, 97407
37432, 1728
22113, 879
76564, 88423
24968, 61043
79773, 47940
75464, 13634
1651, 27044
56967, 16537
64475, 9211
91727, 78839
7929, 76550
63464, 39618
73899, 5625
76191, 79814
76088, 26853
47755, 54590
61037, 99547
52658, 86532
79693, 79594
73364, 93002
10564, 22882
65762, 85023
89639, 9822
72190, 24489
25556, 62667
97485, 17320
47371, 11815
84713, 59116
6804, 14179
23496, 5793
52328, 6405
49055, 21908
90493, 79357
71134, 4372
37886, 78119
6055, 44010
1571, 35350
76733, 61955
37487, 25105
56617, 94637
23438, 39456
6076, 16010
33046, 32355
91781, 10513
4511, 87703
27885, 9726
8283, 80424
4929, 36427
49403, 34284
72363, 13814
9010, 34463
12764, 38641
36028, 96885
56142, 82629
47569, 30028
33136, 61917
59978, 81133
26197, 31617
81070, 1946
93452, 68647
9061, 42128
13873, 87039
66033, 71386
41146, 29271
33961, 45005
57101, 83182
38885, 43211
85668, 12240
34492, 87336
63935, 71039
50851, 81301
24138, 92494
99482, 45509
73718, 56341
52771, 6512
87140, 71160
90599, 29791
22354, 47381
90631, 32789
97304, 76865
54763, 3486
95579, 79482
24628, 53512
26992, 13023
10737, 95995
61588, 92973
27798, 56363
52088, 51884
23124, 97239
87868, 19188
96398, 57753
86683, 64875
40129, 15993
40144, 80784
53325, 48548
62160, 30260
57099, 76810
21967, 4584
30371, 85021
89214, 41656
85127, 78580
97232, 64901
94327, 45872
28067, 83036
69830, 68740
62120, 60969
86961, 71941
91441, 64646
30145, 37468
41150, 15879
77808, 86234
30189, 16217
83930, 34137
84965, 8915
63423, 26200
44749, 90042
56980, 66121
75103, 6500
12528, 85112
128, 54105
55271, 24853
5202, 88480
61917, 26707
73521, 1424
2654, 60841
12941, 78447
40829, 94326
94095, 72686
31574, 6490
27658, 54790
85631, 30310
86927, 37191
4730, 24559
36902, 41832
82890, 57751
35177, 12786
38086, 34323
8512, 23585
90609, 823
25037, 40122
31019, 94291
53364, 92486
47840, 17601
56367, 15424
75167, 23789
63200, 59657
41837, 57166
93037, 90397
83090, 32267
60096, 82146
81491, 63007
54062, 66074
83300, 15185
2232, 31480
66412, 84797
86883, 8473
57376, 91853
79347, 53396
72076, 55886
56963, 53723
52122, 7207
65278, 90829
79204, 64626
15460, 75119
82824, 30849
82561, 54500
78890, 76092
19564, 39460
26236, 18073
67219, 42308
30508, 89472
88817, 70023
50877, 55637
68326, 61636
35889, 24386
6317, 79917
26662, 37251
6258, 20300
19815, 43659
1903, 13471
